,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
339,7,39,0.0006107196984370548,topic44,inhibition control inhibitory,0.0006107196984370548,0.007088935547995648,60,0.10721195257146421,65376,0.6610169491525424
340,7,40,-0.0006810447953047407,topic45,volume gray voxel,0.0006810447953047407,0.007088935547995648,60,0.10721195257146421,65376,0.6779661016949152
346,7,46,0.0014436218566162909,topic50,fear anxiety threat,0.0014436218566162909,0.007088935547995648,60,0.10721195257146421,65376,0.7796610169491526
349,7,49,0.0018434053832197875,topic53,food taste body,0.0018434053832197875,0.007088935547995648,60,0.10721195257146421,65376,0.8305084745762712
353,7,53,-0.0004725837381697264,topic57,memory performance cognitive,0.0004725837381697264,0.007088935547995648,60,0.10721195257146421,65376,0.8983050847457628
355,7,55,0.00917306190893061,topic59,pain painful stimulation,0.00917306190893061,0.007088935547995648,60,0.10721195257146421,65376,0.9322033898305084
423,9,3,0.0045399472229139025,topic11,memory events imagery,0.0045399472229139025,0.01943161282045229,60,0.11437367119879055,5518,0.05084745762711865
427,9,7,-0.0017662067047909866,topic15,motor movement movements,0.0017662067047909866,0.01943161282045229,60,0.11437367119879055,5518,0.11864406779661017
436,9,16,0.006055296116637324,topic23,social empathy moral,0.006055296116637324,0.01943161282045229,60,0.11437367119879055,5518,0.2711864406779661
437,9,17,-0.0017180422374856211,topic24,stimulation somatosensory tms,0.0017180422374856211,0.01943161282045229,60,0.11437367119879055,5518,0.288135593220339
438,9,18,0.006742062067733556,topic25,network resting default,0.006742062067733556,0.01943161282045229,60,0.11437367119879055,5518,0.3050847457627119
449,9,29,0.0017763144468014376,topic35,emotional emotion negative,0.0017763144468014376,0.01943161282045229,60,0.11437367119879055,5518,0.4915254237288136
451,9,31,-0.001056535091310761,topic37,language speech production,0.001056535091310761,0.01943161282045229,60,0.11437367119879055,5518,0.5254237288135594
452,9,32,-0.0012404216393158988,topic38,reading word words,0.0012404216393158988,0.01943161282045229,60,0.11437367119879055,5518,0.5423728813559322
459,9,39,-0.00033424134815540114,topic44,inhibition control inhibitory,0.00033424134815540114,0.01943161282045229,60,0.11437367119879055,5518,0.6610169491525424
460,9,40,-0.0009254795458103729,topic45,volume gray voxel,0.0009254795458103729,0.01943161282045229,60,0.11437367119879055,5518,0.6779661016949152
466,9,46,0.00042012456555998927,topic50,fear anxiety threat,0.00042012456555998927,0.01943161282045229,60,0.11437367119879055,5518,0.7796610169491526
469,9,49,1.284258648163006e-05,topic53,food taste body,1.284258648163006e-05,0.01943161282045229,60,0.11437367119879055,5518,0.8305084745762712
473,9,53,-0.0005797493740726757,topic57,memory performance cognitive,0.0005797493740726757,0.01943161282045229,60,0.11437367119879055,5518,0.8983050847457628
475,9,55,-0.00013156036161160052,topic59,pain painful stimulation,0.00013156036161160052,0.01943161282045229,60,0.11437367119879055,5518,0.9322033898305084
483,10,3,-0.0011140163989758753,topic11,memory events imagery,0.0011140163989758753,0.019602335705801652,60,0.12466105448376875,4355,0.05084745762711865
