,score,num_features,feature,region,boot_n
180,0.6319872861992427,15,topic19,5,0
181,0.6342236505279983,16,topic58,5,0
182,0.6358908315430054,17,topic57,5,0
183,0.6371997615204137,18,topic5,5,0
184,0.6364592111874722,19,topic4,5,0
185,0.6355299222147048,20,topic35,5,0
186,0.6364614367331759,21,topic23,5,0
187,0.6386421005986224,22,topic38,5,0
188,0.6387624655287698,23,topic26,5,0
189,0.6380953582040538,24,topic11,5,0
190,0.6369816580414407,25,topic29,5,0
191,0.6353210300221169,26,topic39,5,0
192,0.6333804778098256,27,topic2,5,0
193,0.6309813395411221,28,topic12,5,0
194,0.6292709458470329,29,topic37,5,0
195,0.6273953053844358,30,topic44,5,0
196,0.6250518675790414,31,topic34,5,0
197,0.6108994369863935,32,topic6,5,0
198,0.5140118291579883,0,topic59,6,0
199,0.5255950048644678,1,topic29,6,0
200,0.5365259596712278,2,topic50,6,0
201,0.5441632248377072,3,topic4,6,0
202,0.5528558630598098,4,topic39,6,0
203,0.5611994784720337,5,topic44,6,0
204,0.5652785913010897,6,topic30,6,0
205,0.5674983318354025,7,topic5,6,0
206,0.5693708750648944,8,topic6,6,0
207,0.56996445009104,9,topic58,6,0
208,0.5701956295899103,10,topic57,6,0
209,0.5709882153523885,11,topic11,6,0
210,0.5707105352383215,12,topic23,6,0
211,0.5727771307833952,13,topic49,6,0
212,0.5769332798633751,14,topic34,6,0
213,0.5776611010670971,15,topic10,6,0
214,0.5822096762283935,16,topic35,6,0
215,0.584653991956988,17,topic2,6,0
216,0.5875300307813378,18,topic7,6,0
217,0.589753122976008,19,topic15,6,0
218,0.5905141668886673,20,topic32,6,0
219,0.5911627705034196,21,topic19,6,0
220,0.5923177289782667,22,topic40,6,0
221,0.5949481185104006,23,topic20,6,0
222,0.6007269470490146,24,topic37,6,0
223,0.5998881512133503,25,topic48,6,0
224,0.5986477038630266,26,topic27,6,0
225,0.5973532946275233,27,topic53,6,0
226,0.5954622574017966,28,topic26,6,0
227,0.5945789700264928,29,topic9,6,0
228,0.5938070480914001,30,topic1,6,0
229,0.5890908204730905,31,topic38,6,0
230,0.5889924498979195,32,topic12,6,0
231,0.5339234598192253,0,topic29,7,0
232,0.5579379159860753,1,topic23,7,0
233,0.5745877263660009,2,topic50,7,0
234,0.5857915856542856,3,topic4,7,0
235,0.5945142887585695,4,topic2,7,0
236,0.6052072945466439,5,topic35,7,0
237,0.619083725510322,6,topic15,7,0
238,0.6240754081116553,7,topic39,7,0
239,0.6330361645063183,8,topic11,7,0
240,0.6372114174742763,9,topic57,7,0
241,0.6374078851376972,10,topic32,7,0
242,0.6481072718976097,11,topic58,7,0
243,0.6470685227834307,12,topic38,7,0
