,score,num_features,feature,region,boot_n
67,0.5443286890233375,1,topic30,0,3
68,0.5549537779863565,2,topic39,0,3
69,0.5611531241169759,3,topic19,0,3
70,0.5629170196560708,4,topic6,0,3
71,0.5659651888588,5,topic36,0,3
72,0.5677537209883667,6,topic9,0,3
73,0.5687938869546039,7,topic25,0,3
74,0.5689643105912148,8,topic7,0,3
75,0.5685352765234872,9,topic4,0,3
76,0.5701262380833595,10,topic34,0,3
77,0.5692097329154009,11,topic37,0,3
78,0.569280906633576,12,topic8,0,3
79,0.5680549775161383,13,topic18,0,3
80,0.5675714646096301,14,topic35,0,3
81,0.5669135698727882,15,topic24,0,3
82,0.5669311940193598,16,topic28,0,3
83,0.5657679783250854,17,topic20,0,3
84,0.564357733907559,18,topic29,0,3
85,0.5683417059865593,19,topic27,0,3
86,0.5689557335872919,20,topic15,0,3
87,0.5718250188583984,21,topic1,0,3
88,0.5318455653679547,0,topic11,0,4
89,0.550152228143295,1,topic39,0,4
90,0.5581056936984721,2,topic19,0,4
91,0.5621319400269706,3,topic30,0,4
92,0.5649326799686751,4,topic6,0,4
93,0.5682412179563237,5,topic27,0,4
94,0.5693909986563309,6,topic1,0,4
95,0.5714114731616209,7,topic35,0,4
96,0.5720558572686605,8,topic8,0,4
97,0.5719807278933293,9,topic34,0,4
98,0.5717236413704618,10,topic9,0,4
99,0.5729019600725139,11,topic4,0,4
100,0.5726480881546081,12,topic37,0,4
101,0.5719826529118951,13,topic24,0,4
102,0.571698166799762,14,topic29,0,4
103,0.5722601515056285,15,topic7,0,4
104,0.5718415892056408,16,topic28,0,4
105,0.5710937545617547,17,topic18,0,4
106,0.5713943262732114,18,topic36,0,4
107,0.5704752359531219,19,topic25,0,4
108,0.5686802694508704,20,topic15,0,4
109,0.5673327827215778,21,topic20,0,4
110,0.5286816073015308,0,topic11,0,5
111,0.5508673413641527,1,topic30,0,5
112,0.5705267116572149,2,topic39,0,5
113,0.5757718350827637,3,topic19,0,5
114,0.5795792192726976,4,topic9,0,5
115,0.5810088347940217,5,topic4,0,5
116,0.5815884042426136,6,topic37,0,5
117,0.5815288108147126,7,topic29,0,5
118,0.5821093642857327,8,topic24,0,5
119,0.5823706340953192,9,topic28,0,5
120,0.5831725443425941,10,topic15,0,5
121,0.5835180915335454,11,topic8,0,5
122,0.5836101498050438,12,topic7,0,5
123,0.5838683528924238,13,topic25,0,5
124,0.5835238018251647,14,topic1,0,5
125,0.5844854574725646,15,topic34,0,5
126,0.5833518730369607,16,topic20,0,5
127,0.5833891054816749,17,topic35,0,5
128,0.5810103961000688,18,topic36,0,5
